date,minimum_temperature_c,maximum_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_km_h,time_of_maximum_wind_gust,x9am_temperature_c,x9am_relative_humidity_percent,x9am_cloud_amount_oktas,x9am_wind_direction,x9am_wind_speed_km_h,x9am_msl_pressure_h_pa,x3pm_temperature_c,x3pm_relative_humidity_percent,x3pm_cloud_amount_oktas,x3pm_wind_direction,x3pm_wind_speed_km_h,x3pm_msl_pressure_h_pa,year,month,day
2019-11-22,3.1,22.6,0,5.8,12.4,WSW,44,13:02:00,14.3,60,2,SW,11,1019.1,21.2,25,NA,WSW,24,1016.9,2019,11,22
2019-11-23,3.6,23,0,8.8,12,W,41,15:27:00,15.3,62,3,WSW,11,1021.3,22.4,34,NA,WSW,19,1018.9,2019,11,23
2019-11-24,5.5,28.4,0,6.6,13.3,WNW,41,13:02:00,16,56,0,NE,15,1018.1,27.6,10,NA,WNW,20,1013.1,2019,11,24
2019-11-25,9.5,29.8,0,11.8,4.7,W,54,11:59:00,25.9,12,7,N,11,1008.2,29.4,14,NA,WNW,20,1004.2,2019,11,25
2019-11-26,9.1,19.4,0,7.4,13,WNW,61,11:47:00,12.7,48,2,SSW,26,1015.9,18.2,37,NA,W,28,1017,2019,11,26
2019-11-27,2.3,26.9,0,8,12.8,SW,46,14:40:00,17.2,37,2,N,15,1017.9,25.8,13,NA,W,20,1014.3,2019,11,27
2019-11-28,5.2,29.9,0,7.8,12.8,SW,41,15:54:00,15.8,58,2,ENE,13,1016.5,28.7,14,NA,WNW,24,1012.1,2019,11,28
2019-11-29,6.2,22.3,0,12,4.7,WSW,52,13:30:00,15.9,63,6,E,7,1014.6,19.6,44,NA,WSW,26,1015.2,2019,11,29
2019-11-30,4.2,18.1,3.2,3.4,10.5,W,50,13:14:00,13.2,71,4,WSW,11,1018,17.2,36,NA,WSW,28,1015.8,2019,11,30
2019-12-01,9.4,16.8,1.6,5,2.5,W,65,14:17:00,11.5,96,8,WNW,28,1008.4,15.6,57,NA,W,39,1004.9,2019,12,01
2019-12-02,10.3,18.1,5.6,4.6,7.5,WSW,50,00:19:00,10.8,93,8,SW,24,1006.9,16.1,51,NA,WSW,28,1008.9,2019,12,02
2019-12-03,10.6,20.2,0,3.8,8.3,WNW,50,09:12:00,13.2,79,8,W,26,1013.8,19.8,49,NA,WSW,30,1013.5,2019,12,03
2019-12-04,11.2,25,0,6.4,12.8,WSW,44,14:01:00,15,63,1,WSW,22,1017.1,23.8,28,NA,W,28,1014.6,2019,12,04
2019-12-05,5.2,27.1,0,9,13,W,52,13:24:00,16.6,59,1,WSW,24,1013.4,25.8,22,NA,WSW,28,1012.1,2019,12,05
2019-12-06,11,24.2,0,11.6,12.4,W,35,15:31:00,14.6,68,1,SSW,13,1015.8,23.8,34,NA,WSW,17,1014.6,2019,12,06
2019-12-07,5.6,29.7,0,7.4,13.3,E,30,06:41:00,13.5,64,2,ENE,19,1018,27,16,NA,SW,4,1015.1,2019,12,07
2019-12-08,13.5,38.4,0,9.4,13.5,NNE,44,16:19:00,23.3,28,2,NE,20,1014.7,36.8,9,NA,N,17,1011.9,2019,12,08
2019-12-09,17.9,29.4,0,14.6,2.5,WSW,41,14:55:00,21.5,54,7,WSW,19,1014.9,24.5,43,NA,WSW,22,1016.2,2019,12,09
2019-12-10,10.5,27.7,0,7.2,12.9,SE,37,17:36:00,16,66,1,ESE,13,1020,26.4,29,NA,WSW,9,1017.5,2019,12,10
2019-12-11,9.3,27.2,0,8,13.9,SE,33,15:48:00,16.8,52,1,SSE,17,1018.8,25.8,24,NA,SSE,11,1017.3,2019,12,11
2019-12-12,10.5,26.1,0,8,12.4,W,41,15:49:00,16.8,55,3,SW,11,1021.3,24.8,26,NA,SSW,13,1019.4,2019,12,12
2019-12-13,4,23.2,0,10.5,13.5,WNW,33,16:43:00,15.2,58,4,SW,11,1021.9,22.1,37,NA,WSW,19,1019,2019,12,13
2019-12-14,7,26,0,7,10.6,WSW,35,14:18:00,14,78,6,SW,13,1018.6,24.9,26,NA,WSW,20,1015.7,2019,12,14
2019-12-15,6.3,30.9,0,9.3,13.4,WSW,43,14:04:00,20.1,46,2,SW,6,1012.4,29.5,17,NA,WSW,28,1011.5,2019,12,15
2019-12-16,10.2,37.3,0,11.2,13.3,SE,33,21:33:00,25.6,13,0,ENE,13,1014.8,36.1,7,NA,WSW,13,1012.9,2019,12,16
2019-12-17,20.1,40.5,0,13.8,12.8,SE,33,23:12:00,29.4,20,4,ENE,17,1016.5,39.8,8,NA,ENE,11,1013.6,2019,12,17
2019-12-18,20.8,43.2,0,14,13.6,SSW,39,14:11:00,34.7,10,1,NNE,22,1014.4,42,7,NA,WSW,17,1011.2,2019,12,18
2019-12-19,20.3,43.8,0,18.6,13.1,E,35,11:23:00,34.1,16,1,E,17,1013.3,42,9,NA,ENE,11,1011,2019,12,19
2019-12-20,28.3,44.7,0,14.4,8.6,W,69,16:52:00,39.1,16,NA,N,22,1009.3,42.9,12,NA,N,22,1006.5,2019,12,20
2019-12-21,13.4,23.9,0.2,18,1.8,SSE,41,14:14:00,19.2,52,6,S,13,1019.2,20.6,47,NA,SSE,20,1020.2,2019,12,21
2019-12-22,11.2,26.7,0,5.8,6.3,SE,52,00:38:00,16.8,40,5,E,19,1020.6,25.9,13,NA,ESE,11,1018.3,2019,12,22
2019-12-23,16.1,35.2,0,10,7.5,WNW,41,13:13:00,25.6,22,6,ENE,11,1016.5,33.5,20,NA,WSW,20,1014.8,2019,12,23
2019-12-24,11.2,34.5,0,10,10.5,ESE,30,09:49:00,25.2,27,2,E,9,1016.1,33.2,11,NA,WSW,4,1014.1,2019,12,24
2019-12-25,15.9,36.4,0,8,13.3,WSW,39,14:56:00,27.8,20,0,ESE,13,1016.8,36,18,NA,SSW,19,1014.2,2019,12,25
2019-12-26,15.6,34.7,0,14.4,13.3,SE,39,17:03:00,24.5,28,2,ESE,17,1018.3,33.4,18,NA,ENE,13,1016.1,2019,12,26
2019-12-27,21.5,41.4,0,16,11.1,NE,46,12:26:00,28,20,2,ENE,19,1014.4,38.9,11,NA,WNW,19,1009.9,2019,12,27
